"rid","binaryID"
1,"1"
2,"10"
3,"11"
4,"110"
5,"111"
6,"1100"
7,"1101"
8,"11000"
9,"11001"
10,"11010"
11,"11011"
12,"110100"
13,"110101"
14,"110111"
15,"1110"
16,"1111"
17,"11101"
18,"11110"
19,"11111"
20,"111010"
21,"111011"
22,"111101"
23,"1111010"
24,"1111011"
25,"111110"
26,"111111"
27,"1110100"
28,"1110101"
29,"1110110"
30,"1110111"
31,"11101100"
32,"11101101"
33,"111011000"
34,"111011001"
35,"1110110001"
36,"11101000"
37,"11101001"
38,"11101111"
39,"1110110010"
40,"1110110011"
41,"11101100100"
42,"11101100101"
43,"111010000"
44,"111010001"
45,"111010010"
46,"111010011"
47,"1110100100"
48,"1110100101"
49,"11101100111"
50,"1110100111"
