"rid","binaryID"
101,"1"
102,"10"
103,"11"
104,"100"
105,"101"
106,"110"
107,"111"
108,"1100"
109,"1101"
110,"1110"
111,"1111"
112,"11010"
113,"11011"
114,"11100"
115,"11101"
116,"11110"
117,"11111"
118,"110100"
119,"110101"
120,"111000"
121,"111001"
122,"111100"
123,"111101"
124,"1101001"
125,"1111000"
126,"1111001"
127,"1101010"
128,"1101011"
129,"11010101"
130,"11110000"
131,"11110001"
132,"1111011"
133,"11010110"
134,"11010111"
135,"111100000"
136,"111100001"
137,"111100011"
138,"110101101"
139,"1111000001"
140,"11110011"
141,"11110110"
142,"11110111"
143,"1111000010"
144,"1111000011"
145,"11110000011"
146,"110101010"
147,"110101011"
148,"1101010101"
149,"1111000111"
150,"111100000111"
